
=== Sheet: Get External ===
No data found in this sheet.

=== Sheet: STOK PACUL ===
Data starts at row 1
R1: NoItemCOPY | RakBarang | NoItem | NamaItem | Quantity | NOTE | STS | SO+BR DTG | CATATAN |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R32: 06401-KPH-881 | RODA | 06401-KPH-881 | GIR SET H.KARISMA/SUPRA X 125 ORI | 2 |  |  | F:=E32+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C32,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R33: 06401-KTL-700 | NOSTOK | 06401-KTL-700 | GIR SET H.SUPRA FIT NEW/REVO 100CC ORI | 0 |  |  | F:=E33+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C33,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R34: 06401-KWB-900 | NOSTOK | 06401-KWB-900 | GIR SET H.REVO 110 / BLADE ORI | 0 |  |  | F:=E34+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C34,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R35: 06401-KWW-900 | RODA | 06401-KWW-900 | GIR SET H.NEW REVO 110 / BLADE NEW ORI | 1 |  |  | F:=E35+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C35,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R36: 06401-KYE-900 | NOSTOK | 06401-KYE-900 | GIRSET MEGAPRO MONOSOK AHM | 0 |  |  | F:=E36+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C36,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R37: 06401-KYZ-900 | NOSTOK | 06401-KYZ-900 | GIR SET H.SUPRA X HELM IN/FI NEW ORI | 0 |  |  | F:=E37+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C37,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R38: 06435-K97-N01 | NOSTOK | 06435-K97-N01 | DISC PAD BELAKANG H.PCX 150 ORI | 0 |  |  | F:=E38+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C38,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R39: 06435-KPP-901 | REM | 06435-KPP-901 | DISC PAD BELAKANG H.SUPRA X 125 ORI | 2 |  |  | F:=E39+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C39,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R40: 06435-KSP-B01 | REM | 06435-KSP-B01 | DISC PAD BELAKANG H.CB ORI | 1 |  |  | F:=E40+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C40,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R41: 06455-K59-A71 | REM | 06455-K59-A71 | DISC PAD H.VARIO 125 NEW ESP ORI | 0 |  |  | F:=E41+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C41,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
