RECONSTRUCTED EXCEL CONTENT FROM SHEET20 (PO SUPPLIER)
R1: A1: STS | B1: PACUL
R2: A2: RakBarang | B2: (Multiple Items)
R4: A4: NoItem | B4: NamaItem | C4: STATUS | D4: DI NOSTOK
R66: A66: 52400-K25-901 | B66: SHOCK BELAKANG H.BEAT FI ORI | C66: D | D66: F:IFERROR(VLOOKUP(A66,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R67: A67: 53175-KRS-T80 | B67: HANDLE REM KANAN H.BEAT FI ORI (PK) | C67: D | D67: F:IFERROR(VLOOKUP(A67,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R68: A68: 53175-KVG-A21 | B68: HANDLE REM KANAN H.VARIO CBS ORI (PK) | C68: D | D68: F:IFERROR(VLOOKUP(A68,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R69: A69: 53178-K1A-N00 | B69: HANDLE REM KIRI H. BEAT FI ESP NEW ORI | C69: D | D69: F:IFERROR(VLOOKUP(A69,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R70: A70: 53178-K59-A10 | B70: HANDLE REM KIRI H.VARIO 125 ORI (PK) | C70: D | D70: F:IFERROR(VLOOKUP(A70,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R71: A71: 53178-KVB-N60 | B71: HANDLE REM KIRI H.BEAT (PK) | C71: D | D71: F:IFERROR(VLOOKUP(A71,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R72: A72: 54P-E7611-00 | B72: KIPAS PULLY Y.SOUL GT ORI | C72: D | D72: F:IFERROR(VLOOKUP(A72,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R73: A73: 54P-E7620-00 | B73: RUMAH ROLLER Y.MIO J ORI | C73: D | D73: F:IFERROR(VLOOKUP(A73,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R74: A74: 54P-E7623-00 | B74: LAWAN RUMAH ROLLER Y.MIO J ORI | C74: D | D74: F:IFERROR(VLOOKUP(A74,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R75: A75: 54P-E7641-00 | B75: FANBELT Y.MIO J ORI | C75: D | D75: F:IFERROR(VLOOKUP(A75,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R76: A76: 54P-E7674-00 | B76: BOSH PULLY / BOSH ROLLER Y.MIO J ORI | C76: D | D76: F:IFERROR(VLOOKUP(A76,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R77: A77: 54P-H3550-10 | B77: KABEL KILOMETER Y.MIO J ORI (PB) | C77: D | D77: F:IFERROR(VLOOKUP(A77,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R78: A78: 54P-WE445-00 | B78: FILTER UDARA Y.MIO J ORI | C78: D | D78: F:IFERROR(VLOOKUP(A78,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R79: A79: 54P-WE445-10 | B79: FILTER UDARA Y.MIO J ORI | C79: D | D79: F:IFERROR(VLOOKUP(A79,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R80: A80: 54P-WE763-00 | B80: ROLLER Y.MIO J ORI (1SET) | C80: D | D80: F:IFERROR(VLOOKUP(A80,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R81: A81: 57460-09J00-000 | B81: SWITCH REM KANAN SGP (PB) | C81: D | D81: F:IFERROR(VLOOKUP(A81,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R82: A82: 5BP-F530K-20 | B82: KAMPAS REM Y.AEROX 155/SCORPIO ORI | C82: D | D82: F:IFERROR(VLOOKUP(A82,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R83: A83: 5D9-F530K-00 | B83: KAMPAS REM Y.VEGA ZR ORI | C83: D | D83: F:IFERROR(VLOOKUP(A83,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R84: A84: 5LW-17653-00 | B84: KLIP ROLLER Y.NMAX ORI | C84: D | D84: F:IFERROR(VLOOKUP(A84,'NOSTOK PACUL'!A:C,3,0),0) (=E)
R85: A85: 82322MAK8LN1 | B85: OLI SUPER SPORT H.MPX 1 1,2L | C85: D | D85: F:IFERROR(VLOOKUP(A85,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R86: A86: 8990876610040 | B86: BAN DALAM 70/90-14 IRC | C86: D | D86: F:IFERROR(VLOOKUP(A86,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R87: A87: 8990876610095 | B87: BAN DALAM 250-17 IRC | C87: D | D87: F:IFERROR(VLOOKUP(A87,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R88: A88: 90201-15841 | B88: RING PULLY Y.MIO J ORI | C88: D | D88: F:IFERROR(VLOOKUP(A88,'NOSTOK PACUL'!A:C,3,0),0) (=0)
